date,country,D,H,I,M,S
2021-04-01,Afghanistan,0,37,0,0,0
2021-04-01,Japan,0,121,0,0,0
2021-04-01,Sweden,0,9,0,0,0
2021-04-02,Afghanistan,0,26,11,0,0
2021-04-02,Japan,0,86,35,0,0
2021-04-02,Sweden,0,8,1,0,0
2021-04-03,Afghanistan,0,19,18,0,0
2021-04-03,Japan,0,56,65,0,0
2021-04-03,Sweden,0,5,4,0,0
2021-04-04,Afghanistan,0,16,21,0,0
2021-04-04,Japan,0,41,80,0,0
2021-04-04,Sweden,0,5,4,0,0
2021-04-05,Afghanistan,0,14,23,0,0
2021-04-05,Japan,0,36,85,0,0
2021-04-05,Sweden,0,4,5,0,0
2021-04-06,Afghanistan,0,13,13,6,5
2021-04-06,Japan,0,26,60,12,23
2021-04-06,Sweden,0,4,4,0,1
2021-04-07,Afghanistan,0,12,7,10,8
2021-04-07,Japan,0,21,35,24,41
2021-04-07,Sweden,0,3,2,1,3
2021-04-08,Afghanistan,0,11,5,13,8
2021-04-08,Japan,0,16,25,30,50
2021-04-08,Sweden,0,3,2,1,3
2021-04-09,Afghanistan,0,11,3,13,10
2021-04-09,Japan,0,11,25,31,54
2021-04-09,Sweden,0,3,1,2,3
2021-04-10,Afghanistan,0,10,3,14,10
2021-04-10,Japan,0,9,17,36,59
2021-04-10,Sweden,0,3,1,2,3
2021-04-11,Afghanistan,0,8,4,14,11
2021-04-11,Japan,0,8,13,40,60
2021-04-11,Sweden,0,2,1,3,3
2021-04-12,Afghanistan,0,6,5,15,11
2021-04-12,Japan,0,5,11,43,62
2021-04-12,Sweden,0,1,2,3,3
2021-04-13,Afghanistan,0,4,7,15,11
2021-04-13,Japan,0,4,7,46,64
2021-04-13,Sweden,0,1,2,3,3
2021-04-14,Afghanistan,0,4,6,15,12
2021-04-14,Japan,0,1,8,47,65
2021-04-14,Sweden,0,0,3,3,3
2021-04-15,Afghanistan,0,4,4,16,13
2021-04-15,Japan,0,1,7,48,65
2021-04-15,Sweden,0,0,2,4,3
2021-04-16,Afghanistan,0,3,3,17,14
2021-04-16,Japan,0,1,4,50,66
2021-04-16,Sweden,0,0,1,5,3
2021-04-17,Afghanistan,0,2,2,19,14
2021-04-17,Japan,0,1,3,51,66
2021-04-17,Sweden,0,0,1,5,3
2021-04-18,Afghanistan,0,2,2,19,14
2021-04-18,Japan,0,0,1,52,68
2021-04-18,Sweden,0,0,0,6,3
2021-04-19,Afghanistan,0,2,2,19,14
2021-04-19,Japan,0,0,1,52,68
2021-04-19,Sweden,0,0,0,6,3
2021-04-20,Afghanistan,1,2,1,23,10
2021-04-20,Japan,5,0,1,70,45
2021-04-20,Sweden,1,0,0,6,2
2021-04-21,Afghanistan,1,2,0,27,7
2021-04-21,Japan,10,0,1,83,27
2021-04-21,Sweden,1,0,0,8,0
2021-04-22,Afghanistan,1,2,0,27,7
2021-04-22,Japan,12,0,0,90,19
2021-04-22,Sweden,1,0,0,8,0
2021-04-23,Afghanistan,1,2,0,29,5
2021-04-23,Japan,12,0,0,94,15
2021-04-23,Sweden,1,0,0,8,0
2021-04-24,Afghanistan,1,1,1,29,5
2021-04-24,Japan,13,0,0,98,10
2021-04-24,Sweden,1,0,0,8,0
2021-04-25,Afghanistan,1,1,1,30,4
2021-04-25,Japan,13,0,0,99,9
2021-04-25,Sweden,1,0,0,8,0
2021-04-26,Afghanistan,1,1,1,30,4
2021-04-26,Japan,13,0,0,101,7
2021-04-26,Sweden,1,0,0,8,0
2021-04-27,Afghanistan,1,1,1,30,4
2021-04-27,Japan,14,0,0,102,5
2021-04-27,Sweden,1,0,0,8,0
2021-04-28,Afghanistan,1,1,0,31,4
2021-04-28,Japan,14,0,0,103,4
2021-04-28,Sweden,1,0,0,8,0
2021-04-29,Afghanistan,1,1,0,32,3
2021-04-29,Japan,14,0,0,103,4
2021-04-29,Sweden,1,0,0,8,0
2021-04-30,Afghanistan,1,1,0,33,2
2021-04-30,Japan,14,0,0,104,3
2021-04-30,Sweden,1,0,0,8,0
2021-05-01,Afghanistan,1,1,0,33,2
2021-05-01,Japan,14,0,0,104,3
2021-05-01,Sweden,1,0,0,8,0
2021-05-02,Afghanistan,1,1,0,33,2
2021-05-02,Japan,14,0,0,106,1
2021-05-02,Sweden,1,0,0,8,0
2021-05-03,Afghanistan,1,1,0,33,2
2021-05-03,Japan,14,0,0,106,1
2021-05-03,Sweden,1,0,0,8,0
2021-05-04,Afghanistan,1,1,0,34,1
2021-05-04,Japan,14,0,0,106,1
2021-05-04,Sweden,1,0,0,8,0
2021-05-05,Afghanistan,1,1,0,34,1
2021-05-05,Japan,14,0,0,106,1
2021-05-05,Sweden,1,0,0,8,0
2021-05-06,Afghanistan,1,0,1,34,1
2021-05-06,Japan,14,0,0,107,0
2021-05-06,Sweden,1,0,0,8,0
2021-05-07,Afghanistan,1,0,1,34,1
2021-05-07,Japan,14,0,0,107,0
2021-05-07,Sweden,1,0,0,8,0
2021-05-08,Afghanistan,1,0,1,34,1
2021-05-08,Japan,14,0,0,107,0
2021-05-08,Sweden,1,0,0,8,0
2021-05-09,Afghanistan,1,0,1,34,1
2021-05-09,Japan,14,0,0,107,0
2021-05-09,Sweden,1,0,0,8,0
2021-05-10,Afghanistan,1,0,0,34,2
2021-05-10,Japan,14,0,0,107,0
2021-05-10,Sweden,1,0,0,8,0
2021-05-11,Afghanistan,1,0,0,34,2
2021-05-11,Japan,14,0,0,107,0
2021-05-11,Sweden,1,0,0,8,0
2021-05-12,Afghanistan,1,0,0,35,1
2021-05-12,Japan,14,0,0,107,0
2021-05-12,Sweden,1,0,0,8,0
2021-05-13,Afghanistan,1,0,0,35,1
2021-05-13,Japan,14,0,0,107,0
2021-05-13,Sweden,1,0,0,8,0
2021-05-14,Afghanistan,1,0,0,35,1
2021-05-14,Japan,14,0,0,107,0
2021-05-14,Sweden,1,0,0,8,0
2021-05-15,Afghanistan,1,0,0,35,1
2021-05-15,Japan,14,0,0,107,0
2021-05-15,Sweden,1,0,0,8,0
2021-05-16,Afghanistan,1,0,0,35,1
2021-05-16,Japan,14,0,0,107,0
2021-05-16,Sweden,1,0,0,8,0
2021-05-17,Afghanistan,1,0,0,35,1
2021-05-17,Japan,14,0,0,107,0
2021-05-17,Sweden,1,0,0,8,0
2021-05-18,Afghanistan,1,0,0,35,1
2021-05-18,Japan,14,0,0,107,0
2021-05-18,Sweden,1,0,0,8,0
2021-05-19,Afghanistan,1,0,0,35,1
2021-05-19,Japan,14,0,0,107,0
2021-05-19,Sweden,1,0,0,8,0
2021-05-20,Afghanistan,1,0,0,35,1
2021-05-20,Japan,14,0,0,107,0
2021-05-20,Sweden,1,0,0,8,0
2021-05-21,Afghanistan,1,0,0,35,1
2021-05-21,Japan,14,0,0,107,0
2021-05-21,Sweden,1,0,0,8,0
2021-05-22,Afghanistan,1,0,0,35,1
2021-05-22,Japan,14,0,0,107,0
2021-05-22,Sweden,1,0,0,8,0
2021-05-23,Afghanistan,1,0,0,35,1
2021-05-23,Japan,14,0,0,107,0
2021-05-23,Sweden,1,0,0,8,0
2021-05-24,Afghanistan,1,0,0,36,0
2021-05-24,Japan,14,0,0,107,0
2021-05-24,Sweden,1,0,0,8,0
2021-05-25,Afghanistan,1,0,0,36,0
2021-05-25,Japan,14,0,0,107,0
2021-05-25,Sweden,1,0,0,8,0
2021-05-26,Afghanistan,1,0,0,36,0
2021-05-26,Japan,14,0,0,107,0
2021-05-26,Sweden,1,0,0,8,0
2021-05-27,Afghanistan,1,0,0,36,0
2021-05-27,Japan,14,0,0,107,0
2021-05-27,Sweden,1,0,0,8,0
2021-05-28,Afghanistan,1,0,0,36,0
2021-05-28,Japan,14,0,0,107,0
2021-05-28,Sweden,1,0,0,8,0
2021-05-29,Afghanistan,1,0,0,36,0
2021-05-29,Japan,14,0,0,107,0
2021-05-29,Sweden,1,0,0,8,0
2021-05-30,Afghanistan,1,0,0,36,0
2021-05-30,Japan,14,0,0,107,0
2021-05-30,Sweden,1,0,0,8,0
2021-05-31,Afghanistan,1,0,0,36,0
2021-05-31,Japan,14,0,0,107,0
2021-05-31,Sweden,1,0,0,8,0
2021-06-01,Afghanistan,1,0,0,36,0
2021-06-01,Japan,14,0,0,107,0
2021-06-01,Sweden,1,0,0,8,0
2021-06-02,Afghanistan,1,0,0,36,0
2021-06-02,Japan,14,0,0,107,0
2021-06-02,Sweden,1,0,0,8,0
2021-06-03,Afghanistan,1,0,0,36,0
2021-06-03,Japan,14,0,0,107,0
2021-06-03,Sweden,1,0,0,8,0
2021-06-04,Afghanistan,1,0,0,36,0
2021-06-04,Japan,14,0,0,107,0
2021-06-04,Sweden,1,0,0,8,0
2021-06-05,Afghanistan,1,0,0,36,0
2021-06-05,Japan,14,0,0,107,0
2021-06-05,Sweden,1,0,0,8,0
2021-06-06,Afghanistan,1,0,0,36,0
2021-06-06,Japan,14,0,0,107,0
2021-06-06,Sweden,1,0,0,8,0
2021-06-07,Afghanistan,1,0,0,36,0
2021-06-07,Japan,14,0,0,107,0
2021-06-07,Sweden,1,0,0,8,0
2021-06-08,Afghanistan,1,0,0,36,0
2021-06-08,Japan,14,0,0,107,0
2021-06-08,Sweden,1,0,0,8,0
2021-06-09,Afghanistan,1,0,0,36,0
2021-06-09,Japan,14,0,0,107,0
2021-06-09,Sweden,1,0,0,8,0
2021-06-10,Afghanistan,1,0,0,36,0
2021-06-10,Japan,14,0,0,107,0
2021-06-10,Sweden,1,0,0,8,0
2021-06-11,Afghanistan,1,0,0,36,0
2021-06-11,Japan,14,0,0,107,0
2021-06-11,Sweden,1,0,0,8,0
2021-06-12,Afghanistan,1,0,0,36,0
2021-06-12,Japan,14,0,0,107,0
2021-06-12,Sweden,1,0,0,8,0
2021-06-13,Afghanistan,1,0,0,36,0
2021-06-13,Japan,14,0,0,107,0
2021-06-13,Sweden,1,0,0,8,0
2021-06-14,Afghanistan,1,0,0,36,0
2021-06-14,Japan,14,0,0,107,0
2021-06-14,Sweden,1,0,0,8,0
2021-06-15,Afghanistan,1,0,0,36,0
2021-06-15,Japan,14,0,0,107,0
2021-06-15,Sweden,1,0,0,8,0
2021-06-16,Afghanistan,1,0,0,36,0
2021-06-16,Japan,14,0,0,107,0
2021-06-16,Sweden,1,0,0,8,0
2021-06-17,Afghanistan,1,0,0,36,0
2021-06-17,Japan,14,0,0,107,0
2021-06-17,Sweden,1,0,0,8,0
2021-06-18,Afghanistan,1,0,0,36,0
2021-06-18,Japan,14,0,0,107,0
2021-06-18,Sweden,1,0,0,8,0
2021-06-19,Afghanistan,1,0,0,36,0
2021-06-19,Japan,14,0,0,107,0
2021-06-19,Sweden,1,0,0,8,0
2021-06-20,Afghanistan,1,0,0,36,0
2021-06-20,Japan,14,0,0,107,0
2021-06-20,Sweden,1,0,0,8,0
2021-06-21,Afghanistan,1,0,0,36,0
2021-06-21,Japan,14,0,0,107,0
2021-06-21,Sweden,1,0,0,8,0
2021-06-22,Afghanistan,1,0,0,36,0
2021-06-22,Japan,14,0,0,107,0
2021-06-22,Sweden,1,0,0,8,0
2021-06-23,Afghanistan,1,0,0,36,0
2021-06-23,Japan,14,0,0,107,0
2021-06-23,Sweden,1,0,0,8,0
2021-06-24,Afghanistan,1,0,0,36,0
2021-06-24,Japan,14,0,0,107,0
2021-06-24,Sweden,1,0,0,8,0
2021-06-25,Afghanistan,1,0,0,36,0
2021-06-25,Japan,14,0,0,107,0
2021-06-25,Sweden,1,0,0,8,0
2021-06-26,Afghanistan,1,0,0,36,0
2021-06-26,Japan,14,0,0,107,0
2021-06-26,Sweden,1,0,0,8,0
2021-06-27,Afghanistan,1,0,0,36,0
2021-06-27,Japan,14,0,0,107,0
2021-06-27,Sweden,1,0,0,8,0
2021-06-28,Afghanistan,1,0,0,36,0
2021-06-28,Japan,14,0,0,107,0
2021-06-28,Sweden,1,0,0,8,0
2021-06-29,Afghanistan,1,0,0,36,0
2021-06-29,Japan,14,0,0,107,0
2021-06-29,Sweden,1,0,0,8,0
2021-06-30,Afghanistan,1,0,0,36,0
2021-06-30,Japan,14,0,0,107,0
2021-06-30,Sweden,1,0,0,8,0
2021-07-01,Afghanistan,1,0,0,36,0
2021-07-01,Japan,14,0,0,107,0
2021-07-01,Sweden,1,0,0,8,0
2021-07-02,Afghanistan,1,0,0,36,0
2021-07-02,Japan,14,0,0,107,0
2021-07-02,Sweden,1,0,0,8,0
2021-07-03,Afghanistan,1,0,0,36,0
2021-07-03,Japan,14,0,0,107,0
2021-07-03,Sweden,1,0,0,8,0
2021-07-04,Afghanistan,1,0,0,36,0
2021-07-04,Japan,14,0,0,107,0
2021-07-04,Sweden,1,0,0,8,0
2021-07-05,Afghanistan,1,0,0,36,0
2021-07-05,Japan,14,0,0,107,0
2021-07-05,Sweden,1,0,0,8,0
2021-07-06,Afghanistan,1,0,0,36,0
2021-07-06,Japan,14,0,0,107,0
2021-07-06,Sweden,1,0,0,8,0
2021-07-07,Afghanistan,1,0,0,36,0
2021-07-07,Japan,14,0,0,107,0
2021-07-07,Sweden,1,0,0,8,0
2021-07-08,Afghanistan,1,0,0,36,0
2021-07-08,Japan,14,0,0,107,0
2021-07-08,Sweden,1,0,0,8,0
2021-07-09,Afghanistan,1,0,0,36,0
2021-07-09,Japan,14,0,0,107,0
2021-07-09,Sweden,1,0,0,8,0
2021-07-10,Afghanistan,1,0,0,36,0
2021-07-10,Japan,14,0,0,107,0
2021-07-10,Sweden,1,0,0,8,0
2021-07-11,Afghanistan,1,0,0,36,0
2021-07-11,Japan,14,0,0,107,0
2021-07-11,Sweden,1,0,0,8,0
2021-07-12,Afghanistan,1,0,0,36,0
2021-07-12,Japan,14,0,0,107,0
2021-07-12,Sweden,1,0,0,8,0
2021-07-13,Afghanistan,1,0,0,36,0
2021-07-13,Japan,14,0,0,107,0
2021-07-13,Sweden,1,0,0,8,0
2021-07-14,Afghanistan,1,0,0,36,0
2021-07-14,Japan,14,0,0,107,0
2021-07-14,Sweden,1,0,0,8,0
2021-07-15,Afghanistan,1,0,0,36,0
2021-07-15,Japan,14,0,0,107,0
2021-07-15,Sweden,1,0,0,8,0
2021-07-16,Afghanistan,1,0,0,36,0
2021-07-16,Japan,14,0,0,107,0
2021-07-16,Sweden,1,0,0,8,0
2021-07-17,Afghanistan,1,0,0,36,0
2021-07-17,Japan,14,0,0,107,0
2021-07-17,Sweden,1,0,0,8,0
2021-07-18,Afghanistan,1,0,0,36,0
2021-07-18,Japan,14,0,0,107,0
2021-07-18,Sweden,1,0,0,8,0
2021-07-19,Afghanistan,1,0,0,36,0
2021-07-19,Japan,14,0,0,107,0
2021-07-19,Sweden,1,0,0,8,0
2021-07-20,Afghanistan,1,0,0,36,0
2021-07-20,Japan,14,0,0,107,0
2021-07-20,Sweden,1,0,0,8,0
2021-07-21,Afghanistan,1,0,0,36,0
2021-07-21,Japan,14,0,0,107,0
2021-07-21,Sweden,1,0,0,8,0
2021-07-22,Afghanistan,1,0,0,36,0
2021-07-22,Japan,14,0,0,107,0
2021-07-22,Sweden,1,0,0,8,0
2021-07-23,Afghanistan,1,0,0,36,0
2021-07-23,Japan,14,0,0,107,0
2021-07-23,Sweden,1,0,0,8,0
2021-07-24,Afghanistan,1,0,0,36,0
2021-07-24,Japan,14,0,0,107,0
2021-07-24,Sweden,1,0,0,8,0
2021-07-25,Afghanistan,1,0,0,36,0
2021-07-25,Japan,14,0,0,107,0
2021-07-25,Sweden,1,0,0,8,0
2021-07-26,Afghanistan,1,0,0,36,0
2021-07-26,Japan,14,0,0,107,0
2021-07-26,Sweden,1,0,0,8,0
2021-07-27,Afghanistan,1,0,0,36,0
2021-07-27,Japan,14,0,0,107,0
2021-07-27,Sweden,1,0,0,8,0
2021-07-28,Afghanistan,1,0,0,36,0
2021-07-28,Japan,14,0,0,107,0
2021-07-28,Sweden,1,0,0,8,0
2021-07-29,Afghanistan,1,0,0,36,0
2021-07-29,Japan,14,0,0,107,0
2021-07-29,Sweden,1,0,0,8,0
2021-07-30,Afghanistan,1,0,0,36,0
2021-07-30,Japan,14,0,0,107,0
2021-07-30,Sweden,1,0,0,8,0
2021-07-31,Afghanistan,1,0,0,36,0
2021-07-31,Japan,14,0,0,107,0
2021-07-31,Sweden,1,0,0,8,0
2021-08-01,Afghanistan,1,0,0,36,0
2021-08-01,Japan,14,0,0,107,0
2021-08-01,Sweden,1,0,0,8,0
2021-08-02,Afghanistan,1,0,0,36,0
2021-08-02,Japan,14,0,0,107,0
2021-08-02,Sweden,1,0,0,8,0
2021-08-03,Afghanistan,1,0,0,36,0
2021-08-03,Japan,14,0,0,107,0
2021-08-03,Sweden,1,0,0,8,0
2021-08-04,Afghanistan,1,6,0,30,0
2021-08-04,Japan,14,12,0,95,0
2021-08-04,Sweden,1,0,0,8,0
2021-08-05,Afghanistan,1,8,2,26,0
2021-08-05,Japan,14,19,5,83,0
2021-08-05,Sweden,1,1,0,7,0
2021-08-06,Afghanistan,1,8,5,23,0
2021-08-06,Japan,14,16,14,77,0
2021-08-06,Sweden,1,1,0,7,0
2021-08-07,Afghanistan,1,8,5,23,0
2021-08-07,Japan,14,12,19,76,0
2021-08-07,Sweden,1,1,1,6,0
2021-08-08,Afghanistan,1,3,11,22,0
2021-08-08,Japan,14,16,20,71,0
2021-08-08,Sweden,1,1,1,6,0
2021-08-09,Afghanistan,1,2,10,24,0
2021-08-09,Japan,14,14,21,70,2
2021-08-09,Sweden,1,2,1,5,0
2021-08-10,Afghanistan,1,2,8,24,2
2021-08-10,Japan,14,11,18,70,8
2021-08-10,Sweden,1,0,3,5,0
2021-08-11,Afghanistan,1,2,8,24,2
2021-08-11,Japan,14,14,13,70,10
2021-08-11,Sweden,1,0,2,5,1
2021-08-12,Afghanistan,1,2,2,28,4
2021-08-12,Japan,14,13,14,70,10
2021-08-12,Sweden,1,0,2,5,1
2021-08-13,Afghanistan,1,3,1,27,5
2021-08-13,Japan,14,9,13,72,13
2021-08-13,Sweden,1,1,2,4,1
2021-08-14,Afghanistan,1,4,0,27,5
2021-08-14,Japan,14,10,8,72,17
2021-08-14,Sweden,1,2,0,4,2
2021-08-15,Afghanistan,1,5,1,25,5
2021-08-15,Japan,14,9,10,71,17
2021-08-15,Sweden,1,2,0,4,2
2021-08-16,Afghanistan,1,4,2,25,5
2021-08-16,Japan,14,10,8,71,18
2021-08-16,Sweden,1,2,1,3,2
2021-08-17,Afghanistan,1,3,3,25,5
2021-08-17,Japan,14,8,5,72,22
2021-08-17,Sweden,1,2,1,3,2
2021-08-18,Afghanistan,1,6,4,21,5
2021-08-18,Japan,14,25,5,54,23
2021-08-18,Sweden,1,2,1,3,2
2021-08-19,Afghanistan,1,9,4,17,6
2021-08-19,Japan,14,31,10,43,23
2021-08-19,Sweden,1,4,1,1,2
2021-08-20,Afghanistan,1,5,7,17,7
2021-08-20,Japan,14,30,18,36,23
2021-08-20,Sweden,1,3,1,2,2
2021-08-21,Afghanistan,1,6,7,16,7
2021-08-21,Japan,14,24,26,32,25
2021-08-21,Sweden,1,3,1,2,2
2021-08-22,Afghanistan,1,5,7,17,7
2021-08-22,Japan,14,23,30,28,26
2021-08-22,Sweden,1,3,1,2,2
2021-08-23,Afghanistan,1,5,7,16,8
2021-08-23,Japan,14,17,30,33,27
2021-08-23,Sweden,1,1,3,2,2
2021-08-24,Afghanistan,1,5,3,19,9
2021-08-24,Japan,17,15,26,39,24
2021-08-24,Sweden,1,1,2,2,3
2021-08-25,Afghanistan,1,4,3,19,10
2021-08-25,Japan,18,14,18,42,29
2021-08-25,Sweden,1,1,2,3,2
2021-08-26,Afghanistan,1,5,2,21,8
2021-08-26,Japan,18,13,15,42,33
2021-08-26,Sweden,1,1,2,3,2
2021-08-27,Afghanistan,1,4,3,21,8
2021-08-27,Japan,19,13,8,45,36
2021-08-27,Sweden,1,1,0,3,4
2021-08-28,Afghanistan,1,5,3,20,8
2021-08-28,Japan,19,7,11,50,34
2021-08-28,Sweden,2,0,1,3,3
2021-08-29,Afghanistan,1,5,2,21,8
2021-08-29,Japan,19,4,12,51,35
2021-08-29,Sweden,2,0,1,3,3
2021-08-30,Afghanistan,1,5,2,21,8
2021-08-30,Japan,20,5,11,50,35
2021-08-30,Sweden,2,0,1,3,3
2021-08-31,Afghanistan,1,4,1,23,8
2021-08-31,Japan,20,5,11,54,31
2021-08-31,Sweden,2,0,1,3,3
2021-09-01,Afghanistan,1,3,3,22,8
2021-09-01,Japan,20,4,5,57,35
2021-09-01,Sweden,2,0,0,4,3
2021-09-02,Afghanistan,1,3,3,23,7
2021-09-02,Japan,20,3,3,58,37
2021-09-02,Sweden,2,0,0,4,3
2021-09-03,Afghanistan,1,2,4,24,6
2021-09-03,Japan,20,3,3,58,37
2021-09-03,Sweden,2,0,0,4,3
2021-09-04,Afghanistan,1,2,3,24,7
2021-09-04,Japan,20,3,3,60,35
2021-09-04,Sweden,2,0,0,4,3
2021-09-05,Afghanistan,1,2,1,24,9
2021-09-05,Japan,20,3,2,62,34
2021-09-05,Sweden,2,0,0,4,3
2021-09-06,Afghanistan,1,2,1,25,8
2021-09-06,Japan,20,2,2,66,31
2021-09-06,Sweden,2,0,0,4,3
2021-09-07,Afghanistan,1,1,1,28,6
2021-09-07,Japan,22,2,1,68,28
2021-09-07,Sweden,2,0,0,5,2
2021-09-08,Afghanistan,2,1,1,28,5
2021-09-08,Japan,23,2,1,74,21
2021-09-08,Sweden,2,0,0,5,2
2021-09-09,Afghanistan,2,2,1,27,5
2021-09-09,Japan,25,2,1,76,17
2021-09-09,Sweden,2,0,0,5,2
2021-09-10,Afghanistan,3,2,1,27,4
2021-09-10,Japan,27,2,0,80,12
2021-09-10,Sweden,2,0,0,7,0
2021-09-11,Afghanistan,3,2,0,28,4
2021-09-11,Japan,27,2,0,82,10
2021-09-11,Sweden,2,0,0,7,0
2021-09-12,Afghanistan,3,2,0,28,4
2021-09-12,Japan,27,2,0,83,9
2021-09-12,Sweden,2,0,0,7,0
2021-09-13,Afghanistan,3,2,0,28,4
2021-09-13,Japan,27,2,0,84,8
2021-09-13,Sweden,2,0,0,7,0
2021-09-14,Afghanistan,3,2,0,28,4
2021-09-14,Japan,27,1,1,84,8
2021-09-14,Sweden,2,0,0,7,0
2021-09-15,Afghanistan,3,2,0,28,4
2021-09-15,Japan,30,1,1,86,3
2021-09-15,Sweden,2,0,0,7,0
2021-09-16,Afghanistan,3,2,0,28,4
2021-09-16,Japan,31,1,1,87,1
2021-09-16,Sweden,2,0,0,7,0
2021-09-17,Afghanistan,3,2,0,28,4
2021-09-17,Japan,31,1,1,87,1
2021-09-17,Sweden,2,0,0,7,0
2021-09-18,Afghanistan,3,2,0,29,3
2021-09-18,Japan,31,1,0,88,1
2021-09-18,Sweden,2,0,0,7,0
2021-09-19,Afghanistan,3,2,0,31,1
2021-09-19,Japan,31,1,0,88,1
2021-09-19,Sweden,2,0,0,7,0
2021-09-20,Afghanistan,3,2,0,31,1
2021-09-20,Japan,31,1,0,88,1
2021-09-20,Sweden,2,0,0,7,0
2021-09-21,Afghanistan,3,3,0,31,0
2021-09-21,Japan,31,1,0,88,1
2021-09-21,Sweden,2,0,0,7,0
2021-09-22,Afghanistan,3,3,0,31,0
2021-09-22,Japan,31,1,0,88,1
2021-09-22,Sweden,2,0,0,7,0
2021-09-23,Afghanistan,3,3,0,31,0
2021-09-23,Japan,31,0,1,88,1
2021-09-23,Sweden,2,0,0,7,0
2021-09-24,Afghanistan,3,2,1,31,0
2021-09-24,Japan,31,0,1,89,0
2021-09-24,Sweden,2,0,0,7,0
2021-09-25,Afghanistan,3,2,1,31,0
2021-09-25,Japan,31,0,1,89,0
2021-09-25,Sweden,2,0,0,7,0
2021-09-26,Afghanistan,3,1,2,31,0
2021-09-26,Japan,31,0,1,89,0
2021-09-26,Sweden,2,0,0,7,0
2021-09-27,Afghanistan,3,1,2,31,0
2021-09-27,Japan,31,0,0,90,0
2021-09-27,Sweden,2,0,0,7,0
2021-09-28,Afghanistan,3,1,1,31,1
2021-09-28,Japan,31,0,0,90,0
2021-09-28,Sweden,2,0,0,7,0
2021-09-29,Afghanistan,3,1,1,31,1
2021-09-29,Japan,31,0,0,90,0
2021-09-29,Sweden,2,0,0,7,0
2021-09-30,Afghanistan,3,1,0,31,2
2021-09-30,Japan,31,0,0,90,0
2021-09-30,Sweden,2,0,0,7,0
2021-10-01,Afghanistan,3,0,1,31,2
2021-10-01,Japan,31,0,0,90,0
2021-10-01,Sweden,2,0,0,7,0
2021-10-02,Afghanistan,3,0,1,31,2
2021-10-02,Japan,31,0,0,90,0
2021-10-02,Sweden,2,0,0,7,0
2021-10-03,Afghanistan,3,0,1,31,2
2021-10-03,Japan,31,0,0,90,0
2021-10-03,Sweden,2,0,0,7,0
2021-10-04,Afghanistan,3,0,1,31,2
2021-10-04,Japan,31,0,0,90,0
2021-10-04,Sweden,2,0,0,7,0
2021-10-05,Afghanistan,3,0,0,31,3
2021-10-05,Japan,31,0,0,90,0
2021-10-05,Sweden,2,0,0,7,0
2021-10-06,Afghanistan,3,0,0,31,3
2021-10-06,Japan,31,0,0,90,0
2021-10-06,Sweden,2,0,0,7,0
2021-10-07,Afghanistan,3,0,0,31,3
2021-10-07,Japan,31,0,0,90,0
2021-10-07,Sweden,2,0,0,7,0
2021-10-08,Afghanistan,3,0,0,31,3
2021-10-08,Japan,31,0,0,90,0
2021-10-08,Sweden,2,0,0,7,0
2021-10-09,Afghanistan,3,0,0,31,3
2021-10-09,Japan,31,0,0,90,0
2021-10-09,Sweden,2,0,0,7,0
2021-10-10,Afghanistan,3,0,0,31,3
2021-10-10,Japan,31,0,0,90,0
2021-10-10,Sweden,2,0,0,7,0
2021-10-11,Afghanistan,3,0,0,31,3
2021-10-11,Japan,31,0,0,90,0
2021-10-11,Sweden,2,0,0,7,0
2021-10-12,Afghanistan,3,0,0,32,2
2021-10-12,Japan,31,0,0,90,0
2021-10-12,Sweden,2,0,0,7,0
2021-10-13,Afghanistan,3,0,0,32,2
2021-10-13,Japan,31,0,0,90,0
2021-10-13,Sweden,2,0,0,7,0
2021-10-14,Afghanistan,3,0,0,33,1
