date,country,D,H,I,M,S
2021-10-14,Japan,31,0,0,90,0
2021-10-14,Sweden,2,0,0,7,0
2021-10-15,Afghanistan,3,0,0,33,1
2021-10-15,Japan,31,0,0,90,0
2021-10-15,Sweden,2,0,0,7,0
2021-10-16,Afghanistan,3,0,0,33,1
2021-10-16,Japan,31,0,0,90,0
2021-10-16,Sweden,2,0,0,7,0
2021-10-17,Afghanistan,3,0,0,33,1
2021-10-17,Japan,31,0,0,90,0
2021-10-17,Sweden,2,0,0,7,0
2021-10-18,Afghanistan,3,0,0,33,1
2021-10-18,Japan,31,0,0,90,0
2021-10-18,Sweden,2,0,0,7,0
2021-10-19,Afghanistan,3,0,0,34,0
2021-10-19,Japan,31,0,0,90,0
2021-10-19,Sweden,2,0,0,7,0
2021-10-20,Afghanistan,3,0,0,34,0
2021-10-20,Japan,31,0,0,90,0
2021-10-20,Sweden,2,0,0,7,0
2021-10-21,Afghanistan,3,0,0,34,0
2021-10-21,Japan,31,0,0,90,0
2021-10-21,Sweden,2,0,0,7,0
2021-10-22,Afghanistan,3,0,0,34,0
2021-10-22,Japan,31,0,0,90,0
2021-10-22,Sweden,2,0,0,7,0
2021-10-23,Afghanistan,3,0,0,34,0
2021-10-23,Japan,31,0,0,90,0
2021-10-23,Sweden,2,0,0,7,0
2021-10-24,Afghanistan,3,0,0,34,0
2021-10-24,Japan,31,0,0,90,0
2021-10-24,Sweden,2,0,0,7,0
2021-10-25,Afghanistan,3,0,0,34,0
2021-10-25,Japan,31,0,0,90,0
2021-10-25,Sweden,2,0,0,7,0
2021-10-26,Afghanistan,3,0,0,34,0
2021-10-26,Japan,31,0,0,90,0
2021-10-26,Sweden,2,0,0,7,0
2021-10-27,Afghanistan,3,0,0,34,0
2021-10-27,Japan,31,0,0,90,0
2021-10-27,Sweden,2,0,0,7,0
2021-10-28,Afghanistan,3,0,0,34,0
2021-10-28,Japan,31,0,0,90,0
2021-10-28,Sweden,2,0,0,7,0
2021-10-29,Afghanistan,3,0,0,34,0
2021-10-29,Japan,31,0,0,90,0
2021-10-29,Sweden,2,0,0,7,0
2021-10-30,Afghanistan,3,0,0,34,0
2021-10-30,Japan,31,0,0,90,0
2021-10-30,Sweden,2,0,0,7,0
2021-10-31,Afghanistan,3,0,0,34,0
2021-10-31,Japan,31,0,0,90,0
2021-10-31,Sweden,2,0,0,7,0
2021-11-01,Afghanistan,3,0,0,34,0
2021-11-01,Japan,31,0,0,90,0
2021-11-01,Sweden,2,0,0,7,0
2021-11-02,Afghanistan,3,0,0,34,0
2021-11-02,Japan,31,0,0,90,0
2021-11-02,Sweden,2,0,0,7,0
2021-11-03,Afghanistan,3,0,0,34,0
2021-11-03,Japan,31,0,0,90,0
2021-11-03,Sweden,2,0,0,7,0
2021-11-04,Afghanistan,3,0,0,34,0
2021-11-04,Japan,31,0,0,90,0
2021-11-04,Sweden,2,0,0,7,0
2021-11-05,Afghanistan,3,0,0,34,0
2021-11-05,Japan,31,0,0,90,0
2021-11-05,Sweden,2,0,0,7,0
2021-11-06,Afghanistan,3,0,0,34,0
2021-11-06,Japan,31,0,0,90,0
2021-11-06,Sweden,2,0,0,7,0
2021-11-07,Afghanistan,3,0,0,34,0
2021-11-07,Japan,31,0,0,90,0
2021-11-07,Sweden,2,0,0,7,0
2021-11-08,Afghanistan,3,0,0,34,0
2021-11-08,Japan,31,0,0,90,0
2021-11-08,Sweden,2,0,0,7,0
2021-11-09,Afghanistan,3,0,0,34,0
2021-11-09,Japan,31,0,0,90,0
2021-11-09,Sweden,2,0,0,7,0
2021-11-10,Afghanistan,3,0,0,34,0
2021-11-10,Japan,31,0,0,90,0
2021-11-10,Sweden,2,0,0,7,0
2021-11-11,Afghanistan,3,0,0,34,0
2021-11-11,Japan,31,0,0,90,0
2021-11-11,Sweden,2,0,0,7,0
2021-11-12,Afghanistan,3,0,0,34,0
2021-11-12,Japan,31,0,0,90,0
2021-11-12,Sweden,2,0,0,7,0
2021-11-13,Afghanistan,3,0,0,34,0
2021-11-13,Japan,31,0,0,90,0
2021-11-13,Sweden,2,0,0,7,0
2021-11-14,Afghanistan,3,0,0,34,0
2021-11-14,Japan,31,0,0,90,0
2021-11-14,Sweden,2,0,0,7,0
2021-11-15,Afghanistan,3,0,0,34,0
2021-11-15,Japan,31,0,0,90,0
2021-11-15,Sweden,2,0,0,7,0
2021-11-16,Afghanistan,3,0,0,34,0
2021-11-16,Japan,31,0,0,90,0
2021-11-16,Sweden,2,0,0,7,0
2021-11-17,Afghanistan,3,0,0,34,0
2021-11-17,Japan,31,0,0,90,0
2021-11-17,Sweden,2,0,0,7,0
2021-11-18,Afghanistan,3,0,0,34,0
2021-11-18,Japan,31,0,0,90,0
2021-11-18,Sweden,2,0,0,7,0
2021-11-19,Afghanistan,3,0,0,34,0
2021-11-19,Japan,31,0,0,90,0
2021-11-19,Sweden,2,0,0,7,0
2021-11-20,Afghanistan,3,0,0,34,0
2021-11-20,Japan,31,0,0,90,0
2021-11-20,Sweden,2,0,0,7,0
2021-11-21,Afghanistan,3,0,0,34,0
2021-11-21,Japan,31,0,0,90,0
2021-11-21,Sweden,2,0,0,7,0
2021-11-22,Afghanistan,3,0,0,34,0
2021-11-22,Japan,31,0,0,90,0
2021-11-22,Sweden,2,0,0,7,0
2021-11-23,Afghanistan,3,0,0,34,0
2021-11-23,Japan,31,0,0,90,0
2021-11-23,Sweden,2,0,0,7,0
2021-11-24,Afghanistan,3,0,0,34,0
2021-11-24,Japan,31,0,0,90,0
2021-11-24,Sweden,2,0,0,7,0
2021-11-25,Afghanistan,3,0,0,34,0
2021-11-25,Japan,31,0,0,90,0
2021-11-25,Sweden,2,0,0,7,0
2021-11-26,Afghanistan,3,0,0,34,0
2021-11-26,Japan,31,0,0,90,0
2021-11-26,Sweden,2,0,0,7,0
2021-11-27,Afghanistan,3,0,0,34,0
2021-11-27,Japan,31,0,0,90,0
2021-11-27,Sweden,2,0,0,7,0
2021-11-28,Afghanistan,3,0,0,34,0
2021-11-28,Japan,31,0,0,90,0
2021-11-28,Sweden,2,0,0,7,0
2021-11-29,Afghanistan,3,0,0,34,0
2021-11-29,Japan,31,0,0,90,0
2021-11-29,Sweden,2,0,0,7,0
2021-11-30,Afghanistan,3,0,0,34,0
2021-11-30,Japan,31,0,0,90,0
2021-11-30,Sweden,2,0,0,7,0
2021-12-01,Afghanistan,3,0,0,34,0
2021-12-01,Japan,31,0,0,90,0
2021-12-01,Sweden,2,0,0,7,0
2021-12-02,Afghanistan,3,0,0,34,0
2021-12-02,Japan,31,0,0,90,0
2021-12-02,Sweden,2,0,0,7,0
2021-12-03,Afghanistan,3,0,0,34,0
2021-12-03,Japan,31,0,0,90,0
2021-12-03,Sweden,2,0,0,7,0
2021-12-04,Afghanistan,3,0,0,34,0
2021-12-04,Japan,31,0,0,90,0
2021-12-04,Sweden,2,0,0,7,0
2021-12-05,Afghanistan,3,0,0,34,0
2021-12-05,Japan,31,0,0,90,0
2021-12-05,Sweden,2,0,0,7,0
2021-12-06,Afghanistan,3,0,0,34,0
2021-12-06,Japan,31,0,0,90,0
2021-12-06,Sweden,2,0,0,7,0
2021-12-07,Afghanistan,3,2,0,32,0
2021-12-07,Japan,31,3,0,87,0
2021-12-07,Sweden,2,0,0,7,0
2021-12-08,Afghanistan,3,3,0,31,0
2021-12-08,Japan,31,6,0,84,0
2021-12-08,Sweden,2,0,0,7,0
2021-12-09,Afghanistan,3,0,3,31,0
2021-12-09,Japan,31,7,2,81,0
2021-12-09,Sweden,2,0,0,7,0
2021-12-10,Afghanistan,3,4,3,27,0
2021-12-10,Japan,31,8,2,80,0
2021-12-10,Sweden,2,0,0,7,0
2021-12-11,Afghanistan,3,2,5,27,0
2021-12-11,Japan,31,9,4,77,0
2021-12-11,Sweden,2,0,0,7,0
2021-12-12,Afghanistan,3,2,6,26,0
2021-12-12,Japan,31,9,6,75,0
2021-12-12,Sweden,2,1,0,6,0
2021-12-13,Afghanistan,3,2,3,28,1
2021-12-13,Japan,31,6,7,75,2
2021-12-13,Sweden,2,1,0,6,0
2021-12-14,Afghanistan,3,1,4,28,1
2021-12-14,Japan,31,6,8,74,2
2021-12-14,Sweden,2,1,0,6,0
2021-12-15,Afghanistan,3,1,2,29,2
2021-12-15,Japan,31,6,7,74,3
2021-12-15,Sweden,2,1,0,6,0
2021-12-16,Afghanistan,3,1,1,30,2
2021-12-16,Japan,31,3,8,74,5
2021-12-16,Sweden,2,1,0,6,0
2021-12-17,Afghanistan,3,1,1,30,2
2021-12-17,Japan,31,5,5,73,7
2021-12-17,Sweden,2,1,0,6,0
2021-12-18,Afghanistan,3,0,1,31,2
2021-12-18,Japan,31,4,5,73,8
2021-12-18,Sweden,2,2,0,5,0
2021-12-19,Afghanistan,3,1,1,30,2
2021-12-19,Japan,31,2,6,73,9
2021-12-19,Sweden,2,2,0,5,0
2021-12-20,Afghanistan,3,2,1,29,2
2021-12-20,Japan,31,2,3,73,12
2021-12-20,Sweden,2,0,2,5,0
2021-12-21,Afghanistan,3,2,1,29,2
2021-12-21,Japan,31,7,4,67,12
2021-12-21,Sweden,2,0,2,5,0
2021-12-22,Afghanistan,3,5,0,27,2
2021-12-22,Japan,31,14,4,59,13
2021-12-22,Sweden,2,0,2,5,0
2021-12-23,Afghanistan,3,4,1,27,2
2021-12-23,Japan,31,14,6,55,15
2021-12-23,Sweden,2,1,2,4,0
2021-12-24,Afghanistan,3,7,1,24,2
2021-12-24,Japan,31,12,9,54,15
2021-12-24,Sweden,2,1,0,4,2
2021-12-25,Afghanistan,3,8,1,23,2
2021-12-25,Japan,31,13,10,51,16
2021-12-25,Sweden,2,1,0,4,2
2021-12-26,Afghanistan,3,6,3,23,2
2021-12-26,Japan,31,17,11,45,17
2021-12-26,Sweden,2,1,0,4,2
2021-12-27,Afghanistan,3,5,4,24,1
2021-12-27,Japan,32,15,10,45,19
2021-12-27,Sweden,2,1,0,4,2
2021-12-28,Afghanistan,3,5,4,24,1
2021-12-28,Japan,32,11,12,47,19
2021-12-28,Sweden,2,0,1,4,2
2021-12-29,Afghanistan,3,7,4,23,0
2021-12-29,Japan,32,14,11,46,18
2021-12-29,Sweden,2,0,1,4,2
2021-12-30,Afghanistan,3,4,5,24,1
2021-12-30,Japan,33,13,13,45,17
2021-12-30,Sweden,2,1,1,3,2
2021-12-31,Afghanistan,3,4,4,25,1
2021-12-31,Japan,33,14,10,47,17
2021-12-31,Sweden,2,1,1,3,2
2022-01-01,Afghanistan,3,5,4,24,1
2022-01-01,Japan,33,13,7,50,18
2022-01-01,Sweden,2,0,1,3,3
2022-01-02,Afghanistan,3,5,4,24,1
2022-01-02,Japan,33,14,7,50,17
2022-01-02,Sweden,2,0,1,3,3
2022-01-03,Afghanistan,3,5,1,27,1
2022-01-03,Japan,34,13,6,53,15
2022-01-03,Sweden,2,0,1,3,3
2022-01-04,Afghanistan,3,3,3,27,1
2022-01-04,Japan,34,14,9,49,15
2022-01-04,Sweden,2,0,1,3,3
2022-01-05,Afghanistan,3,6,3,24,1
2022-01-05,Japan,34,12,11,48,16
2022-01-05,Sweden,2,1,0,2,4
2022-01-06,Afghanistan,3,5,4,24,1
2022-01-06,Japan,34,15,13,44,15
2022-01-06,Sweden,2,1,0,2,4
2022-01-07,Afghanistan,3,4,5,24,1
2022-01-07,Japan,34,11,16,44,16
2022-01-07,Sweden,2,1,0,4,2
2022-01-08,Afghanistan,3,3,3,25,3
2022-01-08,Japan,34,12,16,41,18
2022-01-08,Sweden,2,3,0,2,2
2022-01-09,Afghanistan,3,3,4,24,3
2022-01-09,Japan,34,9,17,41,20
2022-01-09,Sweden,2,2,1,2,2
2022-01-10,Afghanistan,3,2,4,25,3
2022-01-10,Japan,36,7,17,44,17
2022-01-10,Sweden,2,0,3,2,2
2022-01-11,Afghanistan,3,2,3,26,3
2022-01-11,Japan,36,5,14,46,20
2022-01-11,Sweden,2,0,3,2,2
2022-01-12,Afghanistan,3,2,2,27,3
2022-01-12,Japan,36,4,12,47,22
2022-01-12,Sweden,2,0,3,2,2
2022-01-13,Afghanistan,3,2,1,29,2
2022-01-13,Japan,36,6,7,48,24
2022-01-13,Sweden,2,0,2,3,2
2022-01-14,Afghanistan,3,2,0,29,3
2022-01-14,Japan,37,4,7,50,23
2022-01-14,Sweden,2,0,0,4,3
2022-01-15,Afghanistan,3,2,0,29,3
2022-01-15,Japan,37,3,5,53,23
2022-01-15,Sweden,2,0,0,5,2
2022-01-16,Afghanistan,3,3,0,28,3
2022-01-16,Japan,37,4,4,53,23
2022-01-16,Sweden,2,0,0,5,2
2022-01-17,Afghanistan,3,5,0,26,3
2022-01-17,Japan,38,4,4,53,22
2022-01-17,Sweden,2,0,0,5,2
2022-01-18,Afghanistan,3,5,0,26,3
2022-01-18,Japan,38,2,3,53,25
2022-01-18,Sweden,2,0,0,5,2
2022-01-19,Afghanistan,3,6,0,25,3
2022-01-19,Japan,38,0,4,56,23
2022-01-19,Sweden,2,0,0,6,1
2022-01-20,Afghanistan,3,6,0,25,3
2022-01-20,Japan,38,0,4,57,22
2022-01-20,Sweden,2,0,0,6,1
2022-01-21,Afghanistan,3,5,1,25,3
2022-01-21,Japan,38,0,4,58,21
2022-01-21,Sweden,2,0,0,6,1
2022-01-22,Afghanistan,3,5,1,27,1
2022-01-22,Japan,38,1,2,62,18
2022-01-22,Sweden,2,0,0,6,1
2022-01-23,Afghanistan,3,5,1,27,1
2022-01-23,Japan,39,1,0,64,17
2022-01-23,Sweden,2,0,0,6,1
2022-01-24,Afghanistan,3,4,2,27,1
2022-01-24,Japan,39,1,0,65,16
2022-01-24,Sweden,2,0,0,6,1
2022-01-25,Afghanistan,3,4,1,27,2
2022-01-25,Japan,39,2,0,67,13
2022-01-25,Sweden,2,0,0,6,1
2022-01-26,Afghanistan,3,4,1,27,2
2022-01-26,Japan,39,2,0,69,11
2022-01-26,Sweden,2,0,0,6,1
2022-01-27,Afghanistan,3,4,1,27,2
2022-01-27,Japan,40,2,0,71,8
2022-01-27,Sweden,2,0,0,6,1
2022-01-28,Afghanistan,3,4,0,28,2
2022-01-28,Japan,40,2,0,72,7
2022-01-28,Sweden,2,0,0,7,0
2022-01-29,Afghanistan,3,4,0,28,2
2022-01-29,Japan,40,2,0,74,5
2022-01-29,Sweden,2,0,0,7,0
2022-01-30,Afghanistan,3,4,0,28,2
2022-01-30,Japan,40,2,0,74,5
2022-01-30,Sweden,2,0,0,7,0
2022-01-31,Afghanistan,3,3,1,28,2
2022-01-31,Japan,40,2,0,74,5
2022-01-31,Sweden,2,0,0,7,0
2022-02-01,Afghanistan,3,2,2,28,2
2022-02-01,Japan,41,2,0,76,2
2022-02-01,Sweden,2,0,0,7,0
2022-02-02,Afghanistan,3,2,2,28,2
2022-02-02,Japan,41,2,0,76,2
2022-02-02,Sweden,2,0,0,7,0
2022-02-03,Afghanistan,3,2,2,28,2
2022-02-03,Japan,41,2,0,76,2
2022-02-03,Sweden,2,0,0,7,0
2022-02-04,Afghanistan,3,1,2,28,3
2022-02-04,Japan,41,2,0,76,2
2022-02-04,Sweden,2,0,0,7,0
2022-02-05,Afghanistan,3,1,1,29,3
2022-02-05,Japan,41,2,0,76,2
2022-02-05,Sweden,2,0,0,7,0
2022-02-06,Afghanistan,3,1,1,29,3
2022-02-06,Japan,41,1,1,78,0
2022-02-06,Sweden,2,0,0,7,0
2022-02-07,Afghanistan,3,1,1,29,3
2022-02-07,Japan,41,1,1,78,0
2022-02-07,Sweden,2,0,0,7,0
2022-02-08,Afghanistan,3,1,0,30,3
2022-02-08,Japan,41,1,1,78,0
2022-02-08,Sweden,2,0,0,7,0
2022-02-09,Afghanistan,3,2,0,29,3
2022-02-09,Japan,41,1,1,78,0
2022-02-09,Sweden,2,0,0,7,0
2022-02-10,Afghanistan,3,2,0,29,3
2022-02-10,Japan,41,1,0,78,1
2022-02-10,Sweden,2,0,0,7,0
2022-02-11,Afghanistan,3,2,1,29,2
2022-02-11,Japan,41,1,0,78,1
2022-02-11,Sweden,2,0,0,7,0
2022-02-12,Afghanistan,3,2,1,29,2
2022-02-12,Japan,41,1,0,78,1
2022-02-12,Sweden,2,0,0,7,0
2022-02-13,Afghanistan,3,2,1,29,2
2022-02-13,Japan,41,1,0,78,1
2022-02-13,Sweden,2,0,0,7,0
2022-02-14,Afghanistan,3,2,1,29,2
2022-02-14,Japan,41,1,0,78,1
2022-02-14,Sweden,2,0,0,7,0
2022-02-15,Afghanistan,3,0,2,29,3
2022-02-15,Japan,41,1,0,78,1
2022-02-15,Sweden,2,0,0,7,0
2022-02-16,Afghanistan,3,1,2,28,3
2022-02-16,Japan,41,1,0,78,1
2022-02-16,Sweden,2,0,0,7,0
2022-02-17,Afghanistan,3,1,2,28,3
2022-02-17,Japan,41,1,0,78,1
2022-02-17,Sweden,2,0,0,7,0
2022-02-18,Afghanistan,3,1,2,29,2
2022-02-18,Japan,41,1,0,78,1
2022-02-18,Sweden,2,0,0,7,0
2022-02-19,Afghanistan,3,1,0,29,4
2022-02-19,Japan,41,1,0,78,1
2022-02-19,Sweden,2,0,0,7,0
2022-02-20,Afghanistan,3,1,0,29,4
2022-02-20,Japan,41,1,0,78,1
2022-02-20,Sweden,2,0,0,7,0
2022-02-21,Afghanistan,3,1,0,29,4
2022-02-21,Japan,41,1,0,78,1
2022-02-21,Sweden,2,0,0,7,0
2022-02-22,Afghanistan,3,1,0,30,3
2022-02-22,Japan,41,1,0,78,1
2022-02-22,Sweden,2,0,0,7,0
2022-02-23,Afghanistan,3,1,0,30,3
2022-02-23,Japan,41,1,0,78,1
2022-02-23,Sweden,2,0,0,7,0
2022-02-24,Afghanistan,3,1,0,30,3
2022-02-24,Japan,41,1,0,79,0
2022-02-24,Sweden,2,0,0,7,0
2022-02-25,Afghanistan,3,1,0,30,3
2022-02-25,Japan,41,1,0,79,0
2022-02-25,Sweden,2,0,0,7,0
2022-02-26,Afghanistan,3,1,0,30,3
2022-02-26,Japan,41,1,0,79,0
2022-02-26,Sweden,2,0,0,7,0
2022-02-27,Afghanistan,3,1,0,30,3
2022-02-27,Japan,41,0,1,79,0
2022-02-27,Sweden,2,0,0,7,0
2022-02-28,Afghanistan,3,1,0,30,3
2022-02-28,Japan,41,0,1,79,0
2022-02-28,Sweden,2,0,0,7,0
2022-03-01,Afghanistan,3,1,0,31,2
2022-03-01,Japan,41,0,1,79,0
2022-03-01,Sweden,2,0,0,7,0
2022-03-02,Afghanistan,3,1,0,31,2
2022-03-02,Japan,41,0,1,79,0
2022-03-02,Sweden,2,0,0,7,0
2022-03-03,Afghanistan,3,1,0,31,2
2022-03-03,Japan,41,0,0,79,1
2022-03-03,Sweden,2,0,0,7,0
2022-03-04,Afghanistan,3,1,0,31,2
2022-03-04,Japan,41,0,0,79,1
2022-03-04,Sweden,2,0,0,7,0
2022-03-05,Afghanistan,3,1,0,33,0
2022-03-05,Japan,41,0,0,79,1
2022-03-05,Sweden,2,0,0,7,0
2022-03-06,Afghanistan,3,1,0,33,0
2022-03-06,Japan,41,0,0,79,1
2022-03-06,Sweden,2,0,0,7,0
2022-03-07,Afghanistan,3,0,1,33,0
2022-03-07,Japan,41,0,0,79,1
2022-03-07,Sweden,2,0,0,7,0
2022-03-08,Afghanistan,3,0,1,33,0
2022-03-08,Japan,41,0,0,79,1
2022-03-08,Sweden,2,0,0,7,0
2022-03-09,Afghanistan,3,0,1,33,0
2022-03-09,Japan,41,0,0,79,1
2022-03-09,Sweden,2,0,0,7,0
2022-03-10,Afghanistan,3,0,1,33,0
2022-03-10,Japan,41,0,0,79,1
2022-03-10,Sweden,2,0,0,7,0
2022-03-11,Afghanistan,3,0,0,34,0
2022-03-11,Japan,41,0,0,79,1
2022-03-11,Sweden,2,0,0,7,0
2022-03-12,Afghanistan,3,0,0,34,0
2022-03-12,Japan,41,0,0,79,1
2022-03-12,Sweden,2,0,0,7,0
2022-03-13,Afghanistan,3,0,0,34,0
2022-03-13,Japan,41,0,0,79,1
2022-03-13,Sweden,2,0,0,7,0
2022-03-14,Afghanistan,3,0,0,34,0
2022-03-14,Japan,41,0,0,79,1
2022-03-14,Sweden,2,0,0,7,0
2022-03-15,Afghanistan,3,0,0,34,0
2022-03-15,Japan,41,0,0,79,1
2022-03-15,Sweden,2,0,0,7,0
2022-03-16,Afghanistan,3,0,0,34,0
2022-03-16,Japan,41,0,0,79,1
2022-03-16,Sweden,2,0,0,7,0
2022-03-17,Afghanistan,3,0,0,34,0
2022-03-17,Japan,41,0,0,80,0
2022-03-17,Sweden,2,0,0,7,0
2022-03-18,Afghanistan,3,0,0,34,0
2022-03-18,Japan,41,0,0,80,0
2022-03-18,Sweden,2,0,0,7,0
2022-03-19,Afghanistan,3,0,0,34,0
2022-03-19,Japan,41,0,0,80,0
2022-03-19,Sweden,2,0,0,7,0
2022-03-20,Afghanistan,3,0,0,34,0
2022-03-20,Japan,41,0,0,80,0
2022-03-20,Sweden,2,0,0,7,0
2022-03-21,Afghanistan,3,0,0,34,0
2022-03-21,Japan,41,0,0,80,0
2022-03-21,Sweden,2,0,0,7,0
2022-03-22,Afghanistan,3,0,0,34,0
2022-03-22,Japan,41,0,0,80,0
2022-03-22,Sweden,2,0,0,7,0
2022-03-23,Afghanistan,3,0,0,34,0
2022-03-23,Japan,41,0,0,80,0
2022-03-23,Sweden,2,0,0,7,0
2022-03-24,Afghanistan,3,0,0,34,0
2022-03-24,Japan,41,0,0,80,0
2022-03-24,Sweden,2,0,0,7,0
2022-03-25,Afghanistan,3,0,0,34,0
2022-03-25,Japan,41,0,0,80,0
2022-03-25,Sweden,2,0,0,7,0
2022-03-26,Afghanistan,3,0,0,34,0
2022-03-26,Japan,41,0,0,80,0
2022-03-26,Sweden,2,0,0,7,0
2022-03-27,Afghanistan,3,0,0,34,0
2022-03-27,Japan,41,0,0,80,0
2022-03-27,Sweden,2,0,0,7,0
2022-03-28,Afghanistan,3,0,0,34,0
2022-03-28,Japan,41,0,0,80,0
2022-03-28,Sweden,2,0,0,7,0
2022-03-29,Afghanistan,3,0,0,34,0
2022-03-29,Japan,41,0,0,80,0
2022-03-29,Sweden,2,0,0,7,0
2022-03-30,Afghanistan,3,0,0,34,0
2022-03-30,Japan,41,0,0,80,0
2022-03-30,Sweden,2,0,0,7,0
2022-03-31,Afghanistan,3,0,0,34,0
2022-03-31,Japan,41,0,0,80,0
2022-03-31,Sweden,2,0,0,7,0
2022-04-01,Afghanistan,3,0,0,34,0
2022-04-01,Japan,41,0,0,80,0
2022-04-01,Sweden,2,0,0,7,0
2022-04-02,Afghanistan,3,0,0,34,0
2022-04-02,Japan,41,0,0,80,0
2022-04-02,Sweden,2,0,0,7,0
2022-04-03,Afghanistan,3,0,0,34,0
2022-04-03,Japan,41,0,0,80,0
2022-04-03,Sweden,2,0,0,7,0
2022-04-04,Afghanistan,3,0,0,34,0
2022-04-04,Japan,41,0,0,80,0
2022-04-04,Sweden,2,0,0,7,0
2022-04-05,Afghanistan,3,0,0,34,0
2022-04-05,Japan,41,0,0,80,0
2022-04-05,Sweden,2,0,0,7,0
2022-04-06,Afghanistan,3,0,0,34,0
2022-04-06,Japan,41,0,0,80,0
2022-04-06,Sweden,2,0,0,7,0
2022-04-07,Afghanistan,3,0,0,34,0
2022-04-07,Japan,41,0,0,80,0
2022-04-07,Sweden,2,0,0,7,0
2022-04-08,Afghanistan,3,0,0,34,0
2022-04-08,Japan,41,0,0,80,0
2022-04-08,Sweden,2,0,0,7,0
2022-04-09,Afghanistan,3,0,0,34,0
2022-04-09,Japan,41,0,0,80,0
2022-04-09,Sweden,2,0,0,7,0
2022-04-10,Afghanistan,3,0,0,34,0
2022-04-10,Japan,41,0,0,80,0
2022-04-10,Sweden,2,0,0,7,0
2022-04-11,Afghanistan,3,0,0,34,0
2022-04-11,Japan,41,0,0,80,0
2022-04-11,Sweden,2,0,0,7,0
2022-04-12,Afghanistan,3,2,0,32,0
2022-04-12,Japan,41,0,0,80,0
2022-04-12,Sweden,2,0,0,7,0
2022-04-13,Afghanistan,3,0,2,32,0
2022-04-13,Japan,41,0,0,80,0
2022-04-13,Sweden,2,0,0,7,0
2022-04-14,Afghanistan,3,1,2,31,0
2022-04-14,Japan,41,1,0,79,0
2022-04-14,Sweden,2,0,0,7,0
2022-04-15,Afghanistan,3,2,2,30,0
2022-04-15,Japan,41,1,0,79,0
2022-04-15,Sweden,2,0,0,7,0
2022-04-16,Afghanistan,3,1,3,30,0
2022-04-16,Japan,41,2,0,78,0
2022-04-16,Sweden,2,0,0,7,0
2022-04-17,Afghanistan,3,2,1,31,0
2022-04-17,Japan,41,2,0,78,0
2022-04-17,Sweden,2,0,0,7,0
2022-04-18,Afghanistan,3,2,1,31,0
2022-04-18,Japan,41,2,0,78,0
2022-04-18,Sweden,2,0,0,7,0
2022-04-19,Afghanistan,3,1,2,31,0
2022-04-19,Japan,41,1,1,78,0
2022-04-19,Sweden,2,0,0,7,0
2022-04-20,Afghanistan,3,1,1,31,1
2022-04-20,Japan,41,1,1,78,0
2022-04-20,Sweden,2,0,0,7,0
2022-04-21,Afghanistan,3,1,2,30,1
2022-04-21,Japan,41,1,1,78,0
2022-04-21,Sweden,2,0,0,7,0
2022-04-22,Afghanistan,3,1,2,30,1
2022-04-22,Japan,41,1,1,78,0
2022-04-22,Sweden,2,0,0,7,0
2022-04-23,Afghanistan,3,1,1,30,2
2022-04-23,Japan,41,1,0,79,0
2022-04-23,Sweden,2,0,0,7,0
2022-04-24,Afghanistan,3,1,1,30,2
2022-04-24,Japan,41,0,1,79,0
2022-04-24,Sweden,2,0,0,7,0
2022-04-25,Afghanistan,3,0,1,30,3
2022-04-25,Japan,41,0,1,79,0
2022-04-25,Sweden,2,0,0,7,0
2022-04-26,Afghanistan,3,2,1,28,3
2022-04-26,Japan,41,1,1,78,0
2022-04-26,Sweden,2,0,0,7,0
2022-04-27,Afghanistan,3,1,2,28,3
2022-04-27,Japan,41,4,1,75,0
2022-04-27,Sweden,2,0,0,7,0
2022-04-28,Afghanistan,3,2,2,27,3
2022-04-28,Japan,41,3,4,73,0
2022-04-28,Sweden,2,0,0,7,0
2022-04-29,Afghanistan,3,3,1,27,3
2022-04-29,Japan,41,3,6,71,0
2022-04-29,Sweden,2,0,0,7,0
2022-04-30,Afghanistan,3,3,3,25,3
2022-04-30,Japan,41,6,6,68,0
2022-04-30,Sweden,2,0,0,7,0
